Areaname,STCOU,EAN010201F,EAN010201D,EAN010201N1,EAN010201N2,EAN010202F,EAN010202D,EAN010202N1,EAN010202N2,EAN010203F,EAN010203D,EAN010203N1,EAN010203N2,EAN010204F,EAN010204D,EAN010204N1,EAN010204N2,EAN010205F,EAN010205D,EAN010205N1,EAN010205N2,EAN010206F,EAN010206D,EAN010206N1,EAN010206N2,EAN010207F,EAN010207D,EAN010207N1,EAN010207N2,EAN012204F,EAN012204D,EAN012204N1,EAN012204N2,EAN012205F,EAN012205D,EAN012205N1,EAN012205N2,EAN012206F,EAN012206D,EAN012206N1,EAN012206N2,EAN012207F,EAN012207D,EAN012207N1,EAN012207N2
UNITED STATES,00000,0,6704767000,0000,0000,0,6851318000,0000,0000,0,7108923000,0000,0000,0,7567463000,0000,0000,0,7969910000,0000,0000,0,8432750000,0000,0000,0,8848240000,0000,0000,0,44381,0000,0000,0,45744,0000,0000,0,47424,0000,0000,0,48900,0000,0000
ALABAMA,01000,0,80786139,0000,0000,0,83361055,0000,0000,0,87126582,0000,0000,0,92886339,0000,0000,0,98255950,0000,0000,0,103743714,0000,0000,0,107728492,0000,0000,0,37718,0000,0000,0,38883,0000,0000,0,40248,0000,0000,0,41148,0000,0000
"Autauga, AL",01001,0,466115,0000,0000,0,461477,0000,0000,0,488043,0000,0000,0,508323,0000,0000,0,526982,0000,0000,0,549828,0000,0000,0,568075,0000,0000,0,28417,0000,0000,0,28732,0000,0000,0,29963,0000,0000,0,29938,0000,0000
"Baldwin, AL",01003,0,1783548,0000,0000,0,1856142,0000,0000,0,1993108,0000,0000,0,2178472,0000,0000,0,2416450,0000,0000,0,2674045,0000,0000,0,2828857,0000,0000,0,27604,0000,0000,0,29061,0000,0000,0,30597,0000,0000,0,30772,0000,0000
"Barbour, AL",01005,0,435634,0000,0000,0,428650,0000,0000,0,425181,0000,0000,0,448770,0000,0000,0,475301,0000,0000,0,477530,0000,0000,0,487155,0000,0000,0,31626,0000,0000,0,32481,0000,0000,0,32623,0000,0000,0,34119,0000,0000
"Bibb, AL",01007,0,143372,0000,0000,0,147558,0000,0000,0,156425,0000,0000,0,172843,0000,0000,0,184595,0000,0000,0,194358,0000,0000,0,209721,0000,0000,0,27726,0000,0000,0,28847,0000,0000,0,29901,0000,0000,0,31274,0000,0000
"Blount, AL",01009,0,383627,0000,0000,0,363801,0000,0000,0,386353,0000,0000,0,412676,0000,0000,0,434741,0000,0000,0,441495,0000,0000,0,457135,0000,0000,0,23457,0000,0000,0,23543,0000,0000,0,23568,0000,0000,0,23779,0000,0000
"Bullock, AL",01011,0,112918,0000,0000,0,113606,0000,0000,0,117417,0000,0000,0,123024,0000,0000,0,128432,0000,0000,0,131598,0000,0000,0,139018,0000,0000,0,26675,0000,0000,0,28389,0000,0000,0,29559,0000,0000,0,31710,0000,0000
"Butler, AL",01013,0,250277,0000,0000,0,252531,0000,0000,0,264130,0000,0000,0,283083,0000,0000,0,282064,0000,0000,0,289459,0000,0000,0,316618,0000,0000,0,29767,0000,0000,0,28720,0000,0000,0,28628,0000,0000,0,31175,0000,0000
"Calhoun, AL",01015,0,1786512,0000,0000,0,1877845,0000,0000,0,1993382,0000,0000,0,2181036,0000,0000,0,2318918,0000,0000,0,2449240,0000,0000,0,2639194,0000,0000,0,34219,0000,0000,0,35967,0000,0000,0,37657,0000,0000,0,39594,0000,0000
"Chambers, AL",01017,0,476721,0000,0000,0,474903,0000,0000,0,458665,0000,0000,0,452469,0000,0000,0,460158,0000,0000,0,447729,0000,0000,0,438845,0000,0000,0,29531,0000,0000,0,29786,0000,0000,0,30396,0000,0000,0,30194,0000,0000
"Cherokee, AL",01019,0,179650,0000,0000,0,176785,0000,0000,0,193612,0000,0000,0,212569,0000,0000,0,232807,0000,0000,0,239618,0000,0000,0,246866,0000,0000,0,24844,0000,0000,0,27008,0000,0000,0,27756,0000,0000,0,27772,0000,0000
"Chilton, AL",01021,0,307038,0000,0000,0,313830,0000,0000,0,326889,0000,0000,0,348241,0000,0000,0,373731,0000,0000,0,399712,0000,0000,0,410819,0000,0000,0,27660,0000,0000,0,28704,0000,0000,0,29831,0000,0000,0,30150,0000,0000
"Choctaw, AL",01023,0,222807,0000,0000,0,235382,0000,0000,0,243747,0000,0000,0,234164,0000,0000,0,241768,0000,0000,0,265247,0000,0000,0,250137,0000,0000,0,41357,0000,0000,0,42670,0000,0000,0,46396,0000,0000,0,44691,0000,0000
"Clarke, AL",01025,0,348242,0000,0000,0,345540,0000,0000,0,367196,0000,0000,0,373350,0000,0000,0,394236,0000,0000,0,416476,0000,0000,0,435954,0000,0000,0,29086,0000,0000,0,29359,0000,0000,0,30659,0000,0000,0,31541,0000,0000
"Clay, AL",01027,0,165969,0000,0000,0,161917,0000,0000,0,169539,0000,0000,0,179177,0000,0000,0,200205,0000,0000,0,211576,0000,0000,0,211309,0000,0000,0,26795,0000,0000,0,29218,0000,0000,0,29687,0000,0000,0,30037,0000,0000
"Cleburne, AL",01029,0,137201,0000,0000,0,136330,0000,0000,0,142679,0000,0000,0,157284,0000,0000,0,169951,0000,0000,0,154545,0000,0000,0,167631,0000,0000,0,32316,0000,0000,0,34649,0000,0000,0,32050,0000,0000,0,35697,0000,0000
"Coffee, AL",01031,0,505388,0000,0000,0,501680,0000,0000,0,536523,0000,0000,0,590310,0000,0000,0,626847,0000,0000,0,632148,0000,0000,0,664747,0000,0000,0,27709,0000,0000,0,28760,0000,0000,0,28069,0000,0000,0,29088,0000,0000
"Colbert, AL",01033,0,900480,0000,0000,0,925895,0000,0000,0,991291,0000,0000,0,1050611,0000,0000,0,1100016,0000,0000,0,1123256,0000,0000,0,1168210,0000,0000,0,36858,0000,0000,0,37722,0000,0000,0,38339,0000,0000,0,39717,0000,0000
"Conecuh, AL",01035,0,164585,0000,0000,0,154561,0000,0000,0,167009,0000,0000,0,177872,0000,0000,0,187156,0000,0000,0,189950,0000,0000,0,179453,0000,0000,0,30102,0000,0000,0,31001,0000,0000,0,31329,0000,0000,0,30634,0000,0000
"Coosa, AL",01037,0,71995,0000,0000,0,69142,0000,0000,0,71420,0000,0000,0,67920,0000,0000,0,78764,0000,0000,0,85865,0000,0000,0,78803,0000,0000,0,27190,0000,0000,0,29324,0000,0000,0,30787,0000,0000,0,30112,0000,0000
"Covington, AL",01039,0,505484,0000,0000,0,498562,0000,0000,0,518448,0000,0000,0,553315,0000,0000,0,575670,0000,0000,0,586711,0000,0000,0,613222,0000,0000,0,29723,0000,0000,0,30350,0000,0000,0,30365,0000,0000,0,31621,0000,0000
"Crenshaw, AL",01041,0,174892,0000,0000,0,144515,0000,0000,0,164033,0000,0000,0,188943,0000,0000,0,218929,0000,0000,0,216543,0000,0000,0,224711,0000,0000,0,34918,0000,0000,0,37462,0000,0000,0,34983,0000,0000,0,36209,0000,0000
"Cullman, AL",01043,0,1102894,0000,0000,0,1046539,0000,0000,0,1123114,0000,0000,0,1215522,0000,0000,0,1286879,0000,0000,0,1293159,0000,0000,0,1294831,0000,0000,0,29867,0000,0000,0,30975,0000,0000,0,30282,0000,0000,0,30107,0000,0000
"Dale, AL",01045,0,1086391,0000,0000,0,1158091,0000,0000,0,1220946,0000,0000,0,1308650,0000,0000,0,1388953,0000,0000,0,1470399,0000,0000,0,1570842,0000,0000,0,46947,0000,0000,0,50173,0000,0000,0,52423,0000,0000,0,55214,0000,0000
"Dallas, AL",01047,0,611110,0000,0000,0,612026,0000,0000,0,638540,0000,0000,0,650002,0000,0000,0,672799,0000,0000,0,697970,0000,0000,0,695389,0000,0000,0,30812,0000,0000,0,31420,0000,0000,0,32366,0000,0000,0,32677,0000,0000
"DeKalb, AL",01049,0,985141,0000,0000,0,978961,0000,0000,0,1037043,0000,0000,0,1122815,0000,0000,0,1102028,0000,0000,0,1089499,0000,0000,0,1107880,0000,0000,0,30945,0000,0000,0,30603,0000,0000,0,29723,0000,0000,0,30301,0000,0000
"Elmore, AL",01051,0,557738,0000,0000,0,588487,0000,0000,0,656165,0000,0000,0,675493,0000,0000,0,724470,0000,0000,0,784265,0000,0000,0,823206,0000,0000,0,28862,0000,0000,0,29412,0000,0000,0,30235,0000,0000,0,30208,0000,0000
"Escambia, AL",01053,0,526262,0000,0000,0,500830,0000,0000,0,517322,0000,0000,0,541365,0000,0000,0,577662,0000,0000,0,601531,0000,0000,0,620260,0000,0000,0,32041,0000,0000,0,33291,0000,0000,0,34493,0000,0000,0,35389,0000,0000
"Etowah, AL",01055,0,1352451,0000,0000,0,1391911,0000,0000,0,1431015,0000,0000,0,1533691,0000,0000,0,1594178,0000,0000,0,1627254,0000,0000,0,1670410,0000,0000,0,30786,0000,0000,0,31445,0000,0000,0,32282,0000,0000,0,33578,0000,0000
"Fayette, AL",01057,0,216488,0000,0000,0,203009,0000,0000,0,213802,0000,0000,0,215690,0000,0000,0,198303,0000,0000,0,204874,0000,0000,0,205759,0000,0000,0,27494,0000,0000,0,25440,0000,0000,0,26511,0000,0000,0,27020,0000,0000
"Franklin, AL",01059,0,402286,0000,0000,0,385379,0000,0000,0,405399,0000,0000,0,447393,0000,0000,0,464545,0000,0000,0,453418,0000,0000,0,485739,0000,0000,0,30876,0000,0000,0,30516,0000,0000,0,29707,0000,0000,0,32007,0000,0000
"Geneva, AL",01061,0,234578,0000,0000,0,223492,0000,0000,0,238114,0000,0000,0,250492,0000,0000,0,265102,0000,0000,0,261536,0000,0000,0,263539,0000,0000,0,25977,0000,0000,0,26792,0000,0000,0,26003,0000,0000,0,25626,0000,0000
"Greene, AL",01063,0,80496,0000,0000,0,82704,0000,0000,0,85780,0000,0000,0,101695,0000,0000,0,102572,0000,0000,0,107509,0000,0000,0,107873,0000,0000,0,29623,0000,0000,0,29551,0000,0000,0,30691,0000,0000,0,30550,0000,0000
"Hale, AL",01065,0,135104,0000,0000,0,137863,0000,0000,0,140632,0000,0000,0,150843,0000,0000,0,159584,0000,0000,0,168667,0000,0000,0,162455,0000,0000,0,26774,0000,0000,0,27860,0000,0000,0,29674,0000,0000,0,28922,0000,0000
"Henry, AL",01067,0,181755,0000,0000,0,187314,0000,0000,0,185076,0000,0000,0,185976,0000,0000,0,209538,0000,0000,0,217607,0000,0000,0,212009,0000,0000,0,27828,0000,0000,0,30089,0000,0000,0,30692,0000,0000,0,31014,0000,0000
"Houston, AL",01069,0,1794433,0000,0000,0,1872062,0000,0000,0,1958702,0000,0000,0,2118118,0000,0000,0,2223602,0000,0000,0,2315251,0000,0000,0,2394949,0000,0000,0,34493,0000,0000,0,35495,0000,0000,0,36439,0000,0000,0,36885,0000,0000
"Jackson, AL",01071,0,676574,0000,0000,0,654558,0000,0000,0,689894,0000,0000,0,725813,0000,0000,0,772062,0000,0000,0,784645,0000,0000,0,798951,0000,0000,0,29042,0000,0000,0,30366,0000,0000,0,30638,0000,0000,0,31108,0000,0000
"Jefferson, AL",01073,0,20315722,0000,0000,0,21110314,0000,0000,0,21567863,0000,0000,0,23120847,0000,0000,0,23778511,0000,0000,0,24825529,0000,0000,0,25384959,0000,0000,0,48536,0000,0000,0,50070,0000,0000,0,51618,0000,0000,0,52860,0000,0000
"Lamar, AL",01075,0,183800,0000,0000,0,175452,0000,0000,0,174637,0000,0000,0,174541,0000,0000,0,184325,0000,0000,0,185417,0000,0000,0,183673,0000,0000,0,27652,0000,0000,0,29501,0000,0000,0,30081,0000,0000,0,30319,0000,0000
"Lauderdale, AL",01077,0,1088781,0000,0000,0,1042156,0000,0000,0,1072430,0000,0000,0,1132567,0000,0000,0,1213720,0000,0000,0,1283709,0000,0000,0,1336231,0000,0000,0,27155,0000,0000,0,27956,0000,0000,0,28536,0000,0000,0,29506,0000,0000
"Lawrence, AL",01079,0,355520,0000,0000,0,319047,0000,0000,0,391229,0000,0000,0,391744,0000,0000,0,375052,0000,0000,0,370461,0000,0000,0,387908,0000,0000,0,32730,0000,0000,0,31257,0000,0000,0,31006,0000,0000,0,31937,0000,0000
"Lee, AL",01081,0,1519201,0000,0000,0,1605777,0000,0000,0,1728038,0000,0000,0,1912627,0000,0000,0,2045006,0000,0000,0,2199461,0000,0000,0,2308754,0000,0000,0,31168,0000,0000,0,31955,0000,0000,0,33002,0000,0000,0,33708,0000,0000
"Limestone, AL",01083,0,1099972,0000,0000,0,1131814,0000,0000,0,1316264,0000,0000,0,1258033,0000,0000,0,1359772,0000,0000,0,1495680,0000,0000,0,1449193,0000,0000,0,34484,0000,0000,0,35090,0000,0000,0,37396,0000,0000,0,35201,0000,0000
"Lowndes, AL",01085,0,164439,0000,0000,0,133898,0000,0000,0,144843,0000,0000,0,153270,0000,0000,0,163590,0000,0000,0,172606,0000,0000,0,184814,0000,0000,0,30611,0000,0000,0,31243,0000,0000,0,32101,0000,0000,0,34206,0000,0000
"Macon, AL",01087,0,223307,0000,0000,0,217542,0000,0000,0,227494,0000,0000,0,250188,0000,0000,0,261967,0000,0000,0,272396,0000,0000,0,274800,0000,0000,0,30570,0000,0000,0,30405,0000,0000,0,30835,0000,0000,0,31391,0000,0000
"Madison, AL",01089,0,8154633,0000,0000,0,8626450,0000,0000,0,9144278,0000,0000,0,9599371,0000,0000,0,10204033,0000,0000,0,10973465,0000,0000,0,11698698,0000,0000,0,47135,0000,0000,0,48854,0000,0000,0,51232,0000,0000,0,52783,0000,0000
"Marengo, AL",01091,0,322078,0000,0000,0,323303,0000,0000,0,341462,0000,0000,0,350156,0000,0000,0,357164,0000,0000,0,365471,0000,0000,0,365588,0000,0000,0,31379,0000,0000,0,34045,0000,0000,0,33659,0000,0000,0,34311,0000,0000
"Marion, AL",01093,0,382619,0000,0000,0,402816,0000,0000,0,427493,0000,0000,0,475228,0000,0000,0,513099,0000,0000,0,521869,0000,0000,0,521702,0000,0000,0,29450,0000,0000,0,30644,0000,0000,0,31237,0000,0000,0,32509,0000,0000
"Marshall, AL",01095,0,1226666,0000,0000,0,1217248,0000,0000,0,1306410,0000,0000,0,1440191,0000,0000,0,1479570,0000,0000,0,1513707,0000,0000,0,1547219,0000,0000,0,31407,0000,0000,0,31486,0000,0000,0,31925,0000,0000,0,32758,0000,0000
"Mobile, AL",01097,0,7095450,0000,0000,0,7188640,0000,0000,0,7283734,0000,0000,0,7638988,0000,0000,0,8149714,0000,0000,0,9025530,0000,0000,0,9328346,0000,0000,0,35300,0000,0000,0,36516,0000,0000,0,39399,0000,0000,0,39741,0000,0000
"Monroe, AL",01099,0,380988,0000,0000,0,385218,0000,0000,0,421330,0000,0000,0,432348,0000,0000,0,452847,0000,0000,0,450041,0000,0000,0,440968,0000,0000,0,34833,0000,0000,0,36095,0000,0000,0,36753,0000,0000,0,37090,0000,0000
"Montgomery, AL",01101,0,6057810,0000,0000,0,6450034,0000,0000,0,6721287,0000,0000,0,7105829,0000,0000,0,7458331,0000,0000,0,7941199,0000,0000,0,8135484,0000,0000,0,41798,0000,0000,0,42757,0000,0000,0,44576,0000,0000,0,44875,0000,0000
"Morgan, AL",01103,0,2146156,0000,0000,0,2182065,0000,0000,0,2217983,0000,0000,0,2470856,0000,0000,0,2583576,0000,0000,0,2688930,0000,0000,0,2805320,0000,0000,0,39432,0000,0000,0,40668,0000,0000,0,42091,0000,0000,0,42892,0000,0000
"Perry, AL",01105,0,82161,0000,0000,0,79906,0000,0000,0,88619,0000,0000,0,89273,0000,0000,0,94464,0000,0000,0,94768,0000,0000,0,98064,0000,0000,0,23333,0000,0000,0,25761,0000,0000,0,25191,0000,0000,0,25936,0000,0000
"Pickens, AL",01107,0,160490,0000,0000,0,156073,0000,0000,0,164634,0000,0000,0,183005,0000,0000,0,196852,0000,0000,0,195623,0000,0000,0,203241,0000,0000,0,28595,0000,0000,0,30318,0000,0000,0,30054,0000,0000,0,31466,0000,0000
"Pike, AL",01109,0,465715,0000,0000,0,478639,0000,0000,0,520180,0000,0000,0,585139,0000,0000,0,606136,0000,0000,0,611670,0000,0000,0,676906,0000,0000,0,33905,0000,0000,0,34498,0000,0000,0,34377,0000,0000,0,36736,0000,0000
"Randolph, AL",01111,0,194286,0000,0000,0,202232,0000,0000,0,213365,0000,0000,0,235935,0000,0000,0,247738,0000,0000,0,243941,0000,0000,0,250727,0000,0000,0,27466,0000,0000,0,28877,0000,0000,0,28554,0000,0000,0,29880,0000,0000
"Russell, AL",01113,0,507139,0000,0000,0,475914,0000,0000,0,501523,0000,0000,0,518791,0000,0000,0,539635,0000,0000,0,567942,0000,0000,0,584629,0000,0000,0,30997,0000,0000,0,31882,0000,0000,0,33035,0000,0000,0,33438,0000,0000
"St. Clair, AL",01115,0,511452,0000,0000,0,540340,0000,0000,0,582473,0000,0000,0,641850,0000,0000,0,699342,0000,0000,0,762174,0000,0000,0,818687,0000,0000,0,28374,0000,0000,0,29473,0000,0000,0,30678,0000,0000,0,31310,0000,0000
"Shelby, AL",01117,0,2290385,0000,0000,0,2591545,0000,0000,0,2785933,0000,0000,0,3105045,0000,0000,0,3832025,0000,0000,0,4140867,0000,0000,0,4709386,0000,0000,0,41606,0000,0000,0,43813,0000,0000,0,44930,0000,0000,0,47411,0000,0000
"Sumter, AL",01119,0,140608,0000,0000,0,142861,0000,0000,0,146861,0000,0000,0,149994,0000,0000,0,155631,0000,0000,0,160593,0000,0000,0,167567,0000,0000,0,26737,0000,0000,0,27414,0000,0000,0,28642,0000,0000,0,29213,0000,0000
"Talladega, AL",01121,0,1044584,0000,0000,0,1187112,0000,0000,0,1324597,0000,0000,0,1395664,0000,0000,0,1531782,0000,0000,0,1585776,0000,0000,0,1626871,0000,0000,0,37878,0000,0000,0,39271,0000,0000,0,40705,0000,0000,0,42310,0000,0000
"Tallapoosa, AL",01123,0,539573,0000,0000,0,465852,0000,0000,0,477566,0000,0000,0,506904,0000,0000,0,539252,0000,0000,0,553073,0000,0000,0,564935,0000,0000,0,26527,0000,0000,0,27258,0000,0000,0,28614,0000,0000,0,29584,0000,0000
"Tuscaloosa, AL",01125,0,3297233,0000,0000,0,3499136,0000,0000,0,3668168,0000,0000,0,3884578,0000,0000,0,4258833,0000,0000,0,4625907,0000,0000,0,4824050,0000,0000,0,38765,0000,0000,0,40868,0000,0000,0,42640,0000,0000,0,43389,0000,0000
"Walker, AL",01127,0,659720,0000,0000,0,668535,0000,0000,0,710650,0000,0000,0,763175,0000,0000,0,804223,0000,0000,0,851739,0000,0000,0,880917,0000,0000,0,24491,0000,0000,0,24864,0000,0000,0,25539,0000,0000,0,25768,0000,0000
"Washington, AL",01129,0,246413,0000,0000,0,236532,0000,0000,0,256976,0000,0000,0,276451,0000,0000,0,263656,0000,0000,0,266187,0000,0000,0,283597,0000,0000,0,44878,0000,0000,0,41612,0000,0000,0,42292,0000,0000,0,44271,0000,0000
"Wilcox, AL",01131,0,153850,0000,0000,0,156040,0000,0000,0,168569,0000,0000,0,163544,0000,0000,0,161685,0000,0000,0,167035,0000,0000,0,164785,0000,0000,0,36126,0000,0000,0,36383,0000,0000,0,38040,0000,0000,0,38764,0000,0000
"Winston, AL",01133,0,309232,0000,0000,0,304686,0000,0000,0,313059,0000,0000,0,342197,0000,0000,0,374421,0000,0000,0,376435,0000,0000,0,369901,0000,0000,0,29393,0000,0000,0,31011,0000,0000,0,30503,0000,0000,0,30902,0000,0000
ALASKA,02000,0,16173077,0000,0000,0,17053184,0000,0000,0,17707194,0000,0000,0,19049267,0000,0000,0,20310769,0000,0000,0,21642904,0000,0000,0,22621098,0000,0000,0,45210,0000,0000,0,47211,0000,0000,0,49201,0000,0000,0,50830,0000,0000
"Aleutians East, AK",02013,0,80596,0000,0000,0,68598,0000,0000,0,70893,0000,0000,0,75380,0000,0000,0,81291,0000,0000,0,88411,0000,0000,0,85601,0000,0000,0,24434,0000,0000,0,26989,0000,0000,0,27872,0000,0000,0,27498,0000,0000
"Aleutians West, AK",02016,0,148401,0000,0000,0,172853,0000,0000,0,202294,0000,0000,0,204426,0000,0000,0,214549,0000,0000,0,219495,0000,0000,0,214692,0000,0000,0,42731,0000,0000,0,43794,0000,0000,0,43715,0000,0000,0,44276,0000,0000
"Anchorage, AK",02020,0,8229950,0000,0000,0,8691140,0000,0000,0,9023182,0000,0000,0,9800830,0000,0000,0,10383635,0000,0000,0,11000964,0000,0000,0,11487708,0000,0000,0,51538,0000,0000,0,53648,0000,0000,0,55443,0000,0000,0,57193,0000,0000
"Bethel, AK",02050,0,228081,0000,0000,0,251417,0000,0000,0,274094,0000,0000,0,295586,0000,0000,0,305024,0000,0000,0,315330,0000,0000,0,321237,0000,0000,0,33735,0000,0000,0,34365,0000,0000,0,35671,0000,0000,0,37310,0000,0000
"Bristol Bay, AK",02060,0,53053,0000,0000,0,54760,0000,0000,0,59661,0000,0000,0,65463,0000,0000,0,74672,0000,0000,0,76880,0000,0000,0,81577,0000,0000,0,39771,0000,0000,0,43338,0000,0000,0,43191,0000,0000,0,44700,0000,0000
"Denali, AK",02068,0,91107,0000,0000,0,91409,0000,0000,0,91578,0000,0000,0,102379,0000,0000,0,106651,0000,0000,0,113246,0000,0000,0,120602,0000,0000,0,43308,0000,0000,0,43478,0000,0000,0,44463,0000,0000,0,48965,0000,0000
"Dillingham, AK",02070,0,105084,0000,0000,0,105748,0000,0000,0,110595,0000,0000,0,117986,0000,0000,0,122779,0000,0000,0,129585,0000,0000,0,131599,0000,0000,0,29408,0000,0000,0,30286,0000,0000,0,31323,0000,0000,0,32671,0000,0000
"Fairbanks North Star, AK",02090,0,2027918,0000,0000,0,2194270,0000,0000,0,2303337,0000,0000,0,2489397,0000,0000,0,2708321,0000,0000,0,2979138,0000,0000,0,3054332,0000,0000,0,44728,0000,0000,0,47430,0000,0000,0,50816,0000,0000,0,51586,0000,0000
"Haines, AK",02100,0,47320,0000,0000,0,50839,0000,0000,0,50643,0000,0000,0,58449,0000,0000,0,63486,0000,0000,0,67002,0000,0000,0,69980,0000,0000,0,26520,0000,0000,0,27306,0000,0000,0,28058,0000,0000,0,28858,0000,0000
"Hoonah-Angoon, AK",02105,1,67172,5084,0000,1,69704,5084,0000,1,73115,5084,0000,1,70302,5084,0000,1,78493,5084,0000,1,83330,5084,0000,1,89471,5084,0000,1,27887,5084,0000,1,30294,5084,0000,1,32653,5084,0000,1,34963,5084,0000
"Juneau, AK",02110,0,812841,0000,0000,0,834470,0000,0000,0,878436,0000,0000,0,908495,0000,0000,0,982819,0000,0000,0,1042262,0000,0000,0,1073244,0000,0000,0,45129,0000,0000,0,48170,0000,0000,0,50254,0000,0000,0,51835,0000,0000
"Kenai Peninsula, AK",02122,0,926305,0000,0000,0,943222,0000,0000,0,933313,0000,0000,0,995572,0000,0000,0,1044275,0000,0000,0,1086479,0000,0000,0,1119048,0000,0000,0,33506,0000,0000,0,34769,0000,0000,0,35697,0000,0000,0,36371,0000,0000
"Ketchikan Gateway, AK",02130,0,369006,0000,0000,0,360847,0000,0000,0,367892,0000,0000,0,392241,0000,0000,0,421056,0000,0000,0,441626,0000,0000,0,463436,0000,0000,0,38481,0000,0000,0,40768,0000,0000,0,42128,0000,0000,0,43679,0000,0000
"Kodiak Island, AK",02150,0,333351,0000,0000,0,329061,0000,0000,0,349510,0000,0000,0,377677,0000,0000,0,402189,0000,0000,0,416697,0000,0000,0,431295,0000,0000,0,41367,0000,0000,0,44309,0000,0000,0,45526,0000,0000,0,47198,0000,0000
"Lake and Peninsula, AK",02164,0,24194,0000,0000,0,22310,0000,0000,0,29243,0000,0000,0,31229,0000,0000,0,30409,0000,0000,0,34957,0000,0000,0,40873,0000,0000,0,36313,0000,0000,0,37588,0000,0000,0,41272,0000,0000,0,44817,0000,0000
"Matanuska-Susitna, AK",02170,0,632983,0000,0000,0,722939,0000,0000,0,787633,0000,0000,0,874809,0000,0000,0,971447,0000,0000,0,1027877,0000,0000,0,1057305,0000,0000,0,31461,0000,0000,0,32732,0000,0000,0,33525,0000,0000,0,33761,0000,0000
"Nome, AK",02180,0,134798,0000,0000,0,149274,0000,0000,0,158072,0000,0000,0,169365,0000,0000,0,178343,0000,0000,0,180096,0000,0000,0,189307,0000,0000,0,36423,0000,0000,0,38378,0000,0000,0,39582,0000,0000,0,42370,0000,0000
"North Slope, AK",02185,0,793062,0000,0000,0,822705,0000,0000,0,758011,0000,0000,0,773990,0000,0000,0,790836,0000,0000,0,960265,0000,0000,0,1147019,0000,0000,0,82842,0000,0000,0,82387,0000,0000,0,87840,0000,0000,0,91784,0000,0000
"Northwest Arctic, AK",02188,0,167476,0000,0000,0,154518,0000,0000,0,152942,0000,0000,0,153727,0000,0000,0,169388,0000,0000,0,175531,0000,0000,0,181238,0000,0000,0,46612,0000,0000,0,49169,0000,0000,0,52164,0000,0000,0,53828,0000,0000
"Petersburg, AK",02195,1,134672,5090,0000,1,136970,5090,0000,1,142792,5090,0000,1,145018,5090,0000,1,152599,5090,0000,1,153849,5090,0000,1,155319,5090,0000,1,32284,5090,0000,1,33166,5090,0000,1,33279,5090,0000,1,34226,5090,0000
"Prince of Wales-Hyder, AK",02198,0,73074,0000,0000,0,76168,0000,0000,0,82149,0000,0000,0,90080,0000,0000,0,94154,0000,0000,0,90271,0000,0000,0,89360,0000,0000,0,31321,0000,0000,0,31938,0000,0000,0,32707,0000,0000,0,33047,0000,0000
"Sitka, AK",02220,0,201720,0000,0000,0,206468,0000,0000,0,219408,0000,0000,0,232403,0000,0000,0,247062,0000,0000,0,252038,0000,0000,0,256652,0000,0000,0,35085,0000,0000,0,36499,0000,0000,0,37378,0000,0000,0,38479,0000,0000
"Skagway, AK",02230,2,0,5084,0000,2,0,5084,0000,2,0,5084,0000,2,0,5084,0000,2,0,5084,0000,2,0,5084,0000,2,0,5084,0000,2,0,5084,0000,2,0,5084,0000,2,0,5084,0000,2,0,5084,0000
"Southeast Fairbanks, AK",02240,0,76241,0000,0000,0,79111,0000,0000,0,105279,0000,0000,0,120462,0000,0000,0,171677,0000,0000,0,186743,0000,0000,0,216993,0000,0000,0,38206,0000,0000,0,47530,0000,0000,0,51830,0000,0000,0,57179,0000,0000
"Valdez-Cordova, AK",02261,0,261262,0000,0000,0,295861,0000,0000,0,291977,0000,0000,0,309358,0000,0000,0,320782,0000,0000,0,326844,0000,0000,0,339815,0000,0000,0,42883,0000,0000,0,45123,0000,0000,0,45809,0000,0000,0,47256,0000,0000
"Wade Hampton, AK",02270,0,54981,0000,0000,0,58095,0000,0000,0,59419,0000,0000,0,62327,0000,0000,0,66741,0000,0000,0,68419,0000,0000,0,73958,0000,0000,0,23067,0000,0000,0,24420,0000,0000,0,25007,0000,0000,0,26395,0000,0000
"Wrangell, AK",02275,2,0,5090,0000,2,0,5090,0000,2,0,5090,0000,2,0,5090,0000,2,0,5090,0000,2,0,5090,0000,2,0,5090,0000,2,0,5090,0000,2,0,5090,0000,2,0,5090,0000,2,0,5090,0000
"Yakutat, AK",02282,0,14338,0000,0000,0,15473,0000,0000,0,14485,0000,0000,0,15971,0000,0000,0,16074,0000,0000,0,18550,0000,0000,0,19102,0000,0000,0,24800,0000,0000,0,24503,0000,0000,0,28364,0000,0000,0,29030,0000,0000
"Yukon-Koyukuk, AK",02290,0,84091,0000,0000,0,94954,0000,0000,0,117241,0000,0000,0,116345,0000,0000,0,112017,0000,0000,0,107019,0000,0000,0,110335,0000,0000,0,35075,0000,0000,0,35248,0000,0000,0,35840,0000,0000,0,37376,0000,0000
ARIZONA,04000,0,104296510,0000,0000,0,108852414,0000,0000,0,113709584,0000,0000,0,124335902,0000,0000,0,136865693,0000,0000,0,149503018,0000,0000,0,154651463,0000,0000,0,40792,0000,0000,0,42448,0000,0000,0,43818,0000,0000,0,43927,0000,0000
