Areaname,STCOU,EAN010201F,EAN010201D,EAN010201N1,EAN010201N2,EAN010202F,EAN010202D,EAN010202N1,EAN010202N2,EAN010203F,EAN010203D,EAN010203N1,EAN010203N2,EAN010204F,EAN010204D,EAN010204N1,EAN010204N2,EAN010205F,EAN010205D,EAN010205N1,EAN010205N2,EAN010206F,EAN010206D,EAN010206N1,EAN010206N2,EAN010207F,EAN010207D,EAN010207N1,EAN010207N2,EAN012204F,EAN012204D,EAN012204N1,EAN012204N2,EAN012205F,EAN012205D,EAN012205N1,EAN012205N2,EAN012206F,EAN012206D,EAN012206N1,EAN012206N2,EAN012207F,EAN012207D,EAN012207N1,EAN012207N2
"Denver, CO",08031,0,31056473,0000,0000,0,30505755,0000,0000,0,30627993,0000,0000,0,32736503,0000,0000,0,34539035,0000,0000,0,37027426,0000,0000,0,38822052,0000,0000,0,61978,0000,0000,0,64705,0000,0000,0,67893,0000,0000,0,69210,0000,0000
"Dolores, CO",08033,0,19339,0000,0000,0,17487,0000,0000,0,19803,0000,0000,0,20304,0000,0000,0,22886,0000,0000,0,22489,0000,0000,0,26982,0000,0000,0,20345,0000,0000,0,23094,0000,0000,0,22311,0000,0000,0,26350,0000,0000
"Douglas, CO",08035,0,3086190,0000,0000,0,3276530,0000,0000,0,3665948,0000,0000,0,4278361,0000,0000,0,4846051,0000,0000,0,5218418,0000,0000,0,5754365,0000,0000,0,40783,0000,0000,0,42745,0000,0000,0,43812,0000,0000,0,46494,0000,0000
"Eagle, CO",08037,0,1381276,0000,0000,0,1373752,0000,0000,0,1411705,0000,0000,0,1511120,0000,0000,0,1706062,0000,0000,0,1899343,0000,0000,0,1984880,0000,0000,0,38331,0000,0000,0,41348,0000,0000,0,43892,0000,0000,0,43760,0000,0000
"Elbert, CO",08039,0,149256,0000,0000,0,162694,0000,0000,0,167031,0000,0000,0,180426,0000,0000,0,194294,0000,0000,0,198505,0000,0000,0,201714,0000,0000,0,21472,0000,0000,0,22124,0000,0000,0,22337,0000,0000,0,22540,0000,0000
"El Paso, CO",08041,0,12919140,0000,0000,0,13243643,0000,0000,0,13576982,0000,0000,0,14415932,0000,0000,0,15573833,0000,0000,0,16256437,0000,0000,0,16729801,0000,0000,0,41741,0000,0000,0,43795,0000,0000,0,44994,0000,0000,0,45793,0000,0000
"Fremont, CO",08043,0,560348,0000,0000,0,560085,0000,0000,0,573356,0000,0000,0,599999,0000,0000,0,632278,0000,0000,0,658950,0000,0000,0,682779,0000,0000,0,30917,0000,0000,0,31949,0000,0000,0,32790,0000,0000,0,33342,0000,0000
"Garfield, CO",08045,0,898141,0000,0000,0,937121,0000,0000,0,980244,0000,0000,0,1072320,0000,0000,0,1230595,0000,0000,0,1460000,0000,0000,0,1644264,0000,0000,0,33484,0000,0000,0,36077,0000,0000,0,39366,0000,0000,0,41738,0000,0000
"Gilpin, CO",08047,0,226428,0000,0000,0,248032,0000,0000,0,239833,0000,0000,0,241579,0000,0000,0,258074,0000,0000,0,255797,0000,0000,0,240284,0000,0000,0,40520,0000,0000,0,41861,0000,0000,0,42393,0000,0000,0,42893,0000,0000
"Grand, CO",08049,0,247534,0000,0000,0,258778,0000,0000,0,264027,0000,0000,0,287309,0000,0000,0,300920,0000,0000,0,318799,0000,0000,0,334988,0000,0000,0,27319,0000,0000,0,28269,0000,0000,0,29042,0000,0000,0,29013,0000,0000
"Gunnison, CO",08051,0,272043,0000,0000,0,283985,0000,0000,0,299513,0000,0000,0,325734,0000,0000,0,354800,0000,0000,0,379330,0000,0000,0,404710,0000,0000,0,27260,0000,0000,0,28373,0000,0000,0,29079,0000,0000,0,30290,0000,0000
"Hinsdale, CO",08053,0,8857,0000,0000,0,8490,0000,0000,0,9012,0000,0000,0,9528,0000,0000,0,10771,0000,0000,0,11783,0000,0000,0,12340,0000,0000,0,15028,0000,0000,0,16495,0000,0000,0,17880,0000,0000,0,18897,0000,0000
"Huerfano, CO",08055,0,65525,0000,0000,0,65514,0000,0000,0,64904,0000,0000,0,71893,0000,0000,0,74469,0000,0000,0,80652,0000,0000,0,85440,0000,0000,0,19959,0000,0000,0,20772,0000,0000,0,22042,0000,0000,0,23363,0000,0000
"Jackson, CO",08057,0,12478,0000,0000,0,12955,0000,0000,0,14484,0000,0000,0,15538,0000,0000,0,21501,0000,0000,0,21706,0000,0000,0,17192,0000,0000,0,13090,0000,0000,0,18221,0000,0000,0,18442,0000,0000,0,14520,0000,0000
"Jefferson, CO",08059,0,11551056,0000,0000,0,11671212,0000,0000,0,11650375,0000,0000,0,12328919,0000,0000,0,12871038,0000,0000,0,13333875,0000,0000,0,14028004,0000,0000,0,47115,0000,0000,0,48618,0000,0000,0,50090,0000,0000,0,51882,0000,0000
"Kiowa, CO",08061,0,38632,0000,0000,0,22734,0000,0000,0,34251,0000,0000,0,31226,0000,0000,0,34280,0000,0000,0,27316,0000,0000,0,48338,0000,0000,0,24281,0000,0000,0,26128,0000,0000,0,21012,0000,0000,0,37705,0000,0000
"Kit Carson, CO",08063,0,131445,0000,0000,0,109506,0000,0000,0,143457,0000,0000,0,149743,0000,0000,0,156038,0000,0000,0,137976,0000,0000,0,175764,0000,0000,0,29740,0000,0000,0,30452,0000,0000,0,26854,0000,0000,0,34470,0000,0000
"Lake, CO",08065,0,69861,0000,0000,0,68840,0000,0000,0,70552,0000,0000,0,75255,0000,0000,0,77978,0000,0000,0,83391,0000,0000,0,88636,0000,0000,0,24845,0000,0000,0,25642,0000,0000,0,26356,0000,0000,0,27365,0000,0000
"La Plata, CO",08067,0,883339,0000,0000,0,931481,0000,0000,0,979083,0000,0000,0,1078334,0000,0000,0,1186279,0000,0000,0,1310705,0000,0000,0,1420977,0000,0000,0,31130,0000,0000,0,33318,0000,0000,0,35104,0000,0000,0,36798,0000,0000
